a	164537011
e	155642551
o	139896570
s	94924311
i	93955092
r	91744635
d	75535996
n	73336532
t	64851363
m	57866709
u	51433071
c	46790415
l	43070402
p	34052966
g	16619796
v	16082322
f	13949307
b	12909192
h	11332033
ã	9321967
ç	8070734
q	8018809
é	7092569
A	6342032
C	5572465
S	4723992
á	4711131
í	4631558
z	4614754
E	4401870
P	4127411
M	3965301
x	3342997
j	3158505
B	3083044
O	3010777
ó	3000921
D	2663600
T	2597197
R	2572232
F	2530643
N	2502898
I	2355545
L	2228359
y	2205540
G	2077605
k	2041971
ê	2017613
õ	1701740
J	1642759
H	1498805
ú	1491845
V	1452723
U	1211215
w	1002046
à	899558
â	801695
W	764254
K	698986
ô	578348
X	369329
Q	294071
Y	231266
Z	218150
É	209324
Á	147048
ü	67421
Í	46414
ö	44432
è	37019
ñ	28450
ä	25482
ō	20731
À	17925
Ó	17838
ł	15196
š	14912
ć	13487
а	13236
Ú	12751
č	12661
ā	11845
о	11355
и	10600
ş	10039
ă	9545
е	8808
н	8770
р	7919
α	7719
ø	7478
ë	7310
ū	7301
в	7008
Â	6109
л	5823
с	5766
к	5539
ß	5456
ń	5430
ž	5105
å	5104
ο	5003
ı	4897
ا	4854
т	4833
Š	4525
ï	4386
ς	4137
ř	4082
æ	4065
ș	4059
μ	3969
ρ	3938
ν	3911
ī	3720
ι	3461
ý	3428
Ö	3387
ě	3307
д	3300
ţ	3294
ل	3249
ð	3206
ː	3183
ε	3165
τ	3148
ò	3037
