e	392434779
a	211840649
s	203956697
n	202380144
i	198410489
t	188999631
r	185210945
l	152458619
o	150574055
u	146378940
d	114002664
c	84381455
p	73712336
m	71390485
é	66986040
v	32371132
g	32058149
f	25830434
h	25612120
b	22667776
q	21319915
L	12490775
à	11892622
è	11117930
x	10872108
y	10857725
C	10455244
S	8429513
A	8143551
P	6699255
M	6663953
B	5812212
j	5732012
E	5684235
I	5607864
D	5259177
k	4591738
R	4321786
T	4089656
F	3973702
G	3838211
z	3302988
H	3161189
N	3027765
ê	2808348
J	2665140
V	2391917
O	2240660
w	1992329
U	1959967
K	1628887
ç	1556366
É	1453900
ô	1342783
W	1336433
â	1193098
î	1000840
ù	666675
ï	653571
œ	546177
Y	536079
Q	495616
À	479497
Z	455252
X	340022
û	318840
á	207384
ó	196047
í	160723
ü	135392
ë	127804
ö	119610
ä	83380
ō	81008
ł	71232
š	50298
ć	47937
Î	47445
Â	45809
č	40252
ñ	37832
Œ	36113
ã	35196
ú	34968
ā	31275
ń	28515
ū	27931
а	25805
о	25332
ø	23710
Ł	22393
и	21416
ę	20026
ř	19677
ă	19406
е	19090
ß	17845
æ	17616
ž	17469
н	16895
р	16097
ź	15470
ś	15098
ș	14891
å	14504
ě	14454
Á	14410
α	13467
в	13137
Š	13043
ı	12787
ț	12767
ą	12059
ý	11818
л	11403
к	11079
с	10808
ا	10593
Ō	10133
т	10090
ż	10090
Č	10039
Ö	10038
ò	9942
ī	9628
ş	9008
ο	8006
ð	7927
